289;-78.00;164;66;71.3010.50;43530;
290;-79.00;165;66;71.439.25;44811;
291;-83.00;166;66;71.557.25;46092;
292;-75.00;167;66;71.6711.50;47373;
293;-79.00;168;66;71.7910.75;48654;
294;-84.00;169;66;71.915.25;49935;
295;-77.00;170;66;72.0312.25;51216;
296;-74.00;171;66;72.1511.75;52497;
297;-71.00;172;66;72.2711.75;53778;
298;-74.00;173;66;72.3811.75;55059;
299;-67.00;174;66;72.5012.75;56340;
300;-68.00;175;66;72.6111.75;57621;
301;-69.00;176;66;72.7312.25;58902;
302;-54.00;177;66;72.8412.75;60183;
303;-60.00;178;66;72.9513.75;61464;
304;-67.00;179;66;73.0611.50;62745;
305;-72.00;180;66;73.1711.50;64026;
306;-75.00;181;66;73.2812.50;65307;
307;-74.00;182;66;73.3911.25;1052;
308;-78.00;183;66;73.4910.50;2333;
309;-79.00;184;66;73.6010.00;3614;
310;-85.00;185;66;73.716.00;4895;
311;-81.00;186;66;73.8110.25;6176;
312;-84.00;187;66;73.917.50;7457;
313;-84.00;188;66;74.025.50;8738;
314;-88.00;189;66;74.122.75;10019;
315;-85.00;190;66;74.226.00;11300;
316;-80.00;191;66;74.329.25;12581;
317;-82.00;192;66;74.428.75;13862;
318;-83.00;193;66;74.527.75;15143;
319;-90.00;194;66;74.62-0.75;16424;
320;-90.00;195;66;74.71-1.50;17705;
321;-91.00;196;66;74.81-4.50;18986;
322;-85.00;197;66;74.905.00;20267;
323;-87.00;198;66;75.004.00;21548;
324;-90.00;199;66;75.090.50;22829;
325;-88.00;200;66;75.192.25;24110;
326;-74.00;201;66;75.2811.50;25391;
327;-81.00;202;66;75.378.75;26672;
328;-70.00;203;66;75.4612.00;27953;
329;-72.00;204;66;75.5613.50;29234;
330;-64.00;205;66;75.6513.25;30515;
331;-72.00;206;66;75.7412.00;31796;
332;-58.00;207;66;75.8210.25;33077;
333;-60.00;208;66;75.9113.50;34358;
334;-57.00;209;66;76.0010.75;35639;
335;-53.00;210;66;76.0910.50;36920;
336;-60.00;211;66;76.1713.00;38201;
337;-54.00;212;66;76.2614.50;39482;
